class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,eventDate,month,year,speciesKey,recordedBy,oso_2024,code,label_fr,label_en,vernacularName_fr,in_ep,ep_names,ep_types,ep_types_abr,ep_uicn_categories,cd_sig
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",43.76895,6.38481,25.0,1060.0,1991-06-18,6.0,1991,2473682.0,ORSINI Philippe,16,16.0,Forêt de feuillus,Hardwood forest,Tétras lyre,True,Gorges Du Verdon; Gorges du Verdon; Grand Canyon Du Verdon; Périmètre De Protection De La Réserve Naturelle De Géologique De Digne Les Bains; Verdon,Arrêté de protection de biotope; Parc naturel régional; Projet de Grand Site de France; Périmètre de protection d’une réserve naturelle nationale; Site classé selon la loi de 1930,apb; pgsf; pnr; pprnn; sc,IV; V,10kmL93E097N630
Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Lagopus muta (Montin, 1781)",44.20183,6.91165,25.0,1730.0,2003-05-17,5.0,2003,5227679.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Lagopède alpin,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,1780.0,2005-01-09,1.0,2005,2474055.0,AUTRAN Gérard;AUTRAN Lucile,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Lagopus muta (Montin, 1781)",44.25331,6.72713,25.0,1261.0,1998-05-29,5.0,1998,5227679.0,HUIN Denis,20,20.0,Surfaces minérales naturelles,Natural mineral surfaces,Lagopède alpin,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E099N635
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.29173,6.91786,250.0,1870.0,2002-05-14,5.0,2002,2473682.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.12055,6.65589,25.0,2022.0,2013-01-01,1.0,2013,2473682.0,LYON Typhaine;ROMANI Guillaume;ROY Cédric,17,17.0,Forêt de conifères,Softwood forest,Tétras lyre,False,,,,,10kmL93E099N634
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,1845.0,2003-01-15,1.0,2003,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.25952,6.53947,25.0,2344.0,1995-07-22,7.0,1995,2473682.0,GAZAVE Elodie;HENRY Pierre-Yves,20,20.0,Surfaces minérales naturelles,Natural mineral surfaces,Tétras lyre,True,Périmètre De Protection De La Réserve Naturelle De Géologique De Digne Les Bains; Unesco Global Geoparc De Haute-Provence,Géoparcs mondiaux UNESCO; Périmètre de protection d’une réserve naturelle nationale,geoparc; pprnn,IV,10kmL93E098N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.19959,6.97413,25.0,1520.0,2002-01-20,1.0,2002,2474055.0,AUTRAN Lucile;AUTRAN Gérard,17,17.0,Forêt de conifères,Softwood forest,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.33668,6.92097,250.0,2320.0,2004-10-13,10.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
