class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,eventDate,month,year,speciesKey,recordedBy,geometry,oso_2024,code,label_fr,label_en
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.6642,6.5649,25.0,1574.0,2019-04-11,4.0,2019,2473682.0,DUCOS Elie,POINT (6.5649 44.6642),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.21046,6.66168,250.0,1969.0,2019-08-18,8.0,2019,2473682.0,FERRY Pierre,POINT (6.66168 44.21046),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.12761,7.6574,250.0,2149.0,2019-09-22,9.0,2019,2473682.0,JOUVENEZ Gaëtan,POINT (7.6574 44.12761),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.61083,6.81386,25.0,2408.0,2019-06-03,6.0,2019,2473682.0,BOUVIN Laurent,POINT (6.81386 44.61083),20,20,Surfaces minérales naturelles,Natural mineral surfaces
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.72252,6.12622,25.0,1856.0,2019-12-24,12.0,2019,2473682.0,CLAMENS Alex,POINT (6.12622 44.72252),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.52091,6.80779,250.0,2100.0,2019-10-25,10.0,2019,2473682.0,BELLEAU Eric,POINT (6.80779 44.52091),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.68103,5.99764,25.0,1649.0,2019-06-10,6.0,2019,2473682.0,CLAMENS Alex,POINT (5.99764 44.68103),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.84202,6.63954,250.0,2236.0,2019-05-14,5.0,2019,2473682.0,MERDRIGNAC Anaïs,POINT (6.63954 44.84202),20,20,Surfaces minérales naturelles,Natural mineral surfaces
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.83993,6.70274,250.0,2260.0,2019-12-03,12.0,2019,2473682.0,NIERMONT Jean-Pierre,POINT (6.70274 44.83993),20,20,Surfaces minérales naturelles,Natural mineral surfaces
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.88905,6.57919,25.0,2090.0,2019-06-01,6.0,2019,2473682.0,BONNEAU Pierre,POINT (6.57919 44.88905),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.47595,6.80476,250.0,2297.0,2019-06-01,6.0,2019,2473682.0,BELLEAU Eric,POINT (6.80476 44.47595),19,19,Landes ligneuses / broussailles,Woody moorlands
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.08168,6.46591,25.0,1650.0,2019-02-19,2.0,2019,2473682.0,JARDIN Jean-Luc,POINT (6.46591 44.08168),19,19,Landes ligneuses / broussailles,Woody moorlands
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.61719,6.62502,25.0,1990.0,2019-04-30,4.0,2019,2473682.0,DHAINAUT Gregory,POINT (6.62502 44.61719),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.27098,6.16402,250.0,1870.0,2019-10-29,10.0,2019,2473682.0,LETEVE Alain,POINT (6.16402 44.27098),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.62894,6.24721,25.0,1790.0,2019-04-07,4.0,2019,2473682.0,CHARDON Norbert,POINT (6.24721 44.62894),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.84202,6.63954,250.0,2094.0,2019-07-20,7.0,2019,2473682.0,MARIE Jean-Pierre,POINT (6.63954 44.84202),20,20,Surfaces minérales naturelles,Natural mineral surfaces
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.25117,6.78968,25.0,2040.0,2019-08-02,8.0,2019,2473682.0,BELLEAU Eric,POINT (6.78968 44.25117),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.57014,6.68503,25.0,2071.0,2019-02-23,2.0,2019,2473682.0,LUCAS Stéphane,POINT (6.68503 44.57014),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.25542,6.66458,250.0,2311.0,2019-05-16,5.0,2019,2473682.0,BELLEAU Eric,POINT (6.66458 44.25542),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.43937,6.55073,25.0,1923.0,2019-06-08,6.0,2019,2473682.0,BELLEAU Eric,POINT (6.55073 44.43937),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.06247,7.02704,25.0,1456.0,2019-05-21,5.0,2019,2473682.0,JOUVENEZ Gaëtan,POINT (7.02704 44.06247),19,19,Landes ligneuses / broussailles,Woody moorlands
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.25117,6.78968,25.0,1863.0,2019-05-19,5.0,2019,2473682.0,GIGAULT Jean-Christophe,POINT (6.78968 44.25117),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.25331,6.72713,25.0,2276.0,2019-07-03,7.0,2019,2473682.0,BELLEAU Eric,POINT (6.72713 44.25331),20,20,Surfaces minérales naturelles,Natural mineral surfaces
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.25117,6.78968,25.0,2438.0,2019-08-26,8.0,2019,2473682.0,BELLEAU Eric,POINT (6.78968 44.25117),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.13284,7.53265,25.0,1638.0,2019-10-14,10.0,2019,2473682.0,FALKE Claude,POINT (7.53265 44.13284),19,19,Landes ligneuses / broussailles,Woody moorlands
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.62707,6.31018,25.0,2186.0,2019-04-29,4.0,2019,2473682.0,CORAIL Marc,POINT (6.31018 44.62707),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.21253,6.59917,25.0,2186.0,2019-04-18,4.0,2019,2473682.0,FERRY Pierre,POINT (6.59917 44.21253),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.69856,6.88299,250.0,2427.0,2019-12-30,12.0,2019,2473682.0,COURSIER Cyril,POINT (6.88299 44.69856),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.83993,6.70274,250.0,2344.0,2019-11-25,11.0,2019,2473682.0,NIERMONT Jean-Pierre,POINT (6.70274 44.83993),20,20,Surfaces minérales naturelles,Natural mineral surfaces
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.62894,6.24721,25.0,1747.0,2019-04-17,4.0,2019,2473682.0,CLAMENS Alex,POINT (6.24721 44.62894),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.13284,7.53265,25.0,2086.0,2019-09-21,9.0,2019,2473682.0,JOUVENEZ Gaëtan,POINT (7.53265 44.13284),19,19,Landes ligneuses / broussailles,Woody moorlands
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.68103,5.99764,25.0,1696.0,2019-06-02,6.0,2019,2473682.0,CORAIL Marc,POINT (5.99764 44.68103),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.67391,6.2498,25.0,1988.0,2019-06-16,6.0,2019,2473682.0,CORAIL Marc,POINT (6.2498 44.67391),13,13,Prairies,Grasslands
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.35341,6.41976,250.0,1795.0,2019-05-02,5.0,2019,2473682.0,FERRIEUX Thibaut,POINT (6.41976 44.35341),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.6642,6.5649,25.0,1610.0,2019-04-28,4.0,2019,2473682.0,DUCOS Elie,POINT (6.5649 44.6642),17,17,Forêt de conifères,Softwood forest
