species,vernacularName_fr
Charadrius dominicus,
Pluvialis fulva,Pluvier fauve
Charadrius fulvus,
Pluvialis squatarola,Pluvier argenté
Charadarius squatarola,
Squatarola squatarola,
Tringa squatarola,
Vanellus armatus,Vanneau armé
Charadrius armatus,
Vanellus cayanus,Vanneau de Cayenne
Charadrius cayanus,
Hoploxypterus cayanus,
Vanellus chilensis,Vanneau téro
Parra chilensis,
Parra cayennensis,
Vanellus gregarius,Vanneau sociable
Charadrius gregarius,
Chettusia gregaria,
Vanellus leucurus,Vanneau à queue blanche
Charadrius leucurus,
Chettusia leucura,
Vanellus lugubris,Vanneau terne
Charadrius lugubris,
Vanellus miles,Vanneau soldat
Tringa miles,
Vanellus spinosus,"Vanneau armé, Vanneau à éperons"
Charadrius spinosus,
Hoplopterus spinosus,
Vanellus tectus,Vanneau à tête noire
Charadrius tectus,
Vanellus vanellus,Vanneau huppé
Tringa vanellus,
Vanellus cristatus,
Chionis minor,"Petit bec-en-fourreau, Petit chionis"
Chionarchus crozettensis,
Dromas ardeola,Drome ardéole
Cursorius cursor,Courvite isabelle
Charadrius cursor,
Chardarius cursor,
Glareola maldivarum,"Glaréole orientale, Glaréole des Maldives"
Glareola nordmanni,Glaréole à ailes noires
Glareola ocularis,"Glaréole malgache, Glaréole de Madagascar"
Glareola pratincola,Glaréole à collier
Hirundo pratincola,
Stiltia isabella,Glaréole isabelle
Glareola isabella,
Haematopus finschi,Huitrier de Finsch
Haematopus ostralegus,Huîtrier pie
Haematopus palliatus,Huîtrier d'Amérique
Jacana jacana,Jacana noir
Parra Jacana,
Anous minutus,Noddi noir
Anous stolidus,"Noddi brun, Noddi niais"
Sterna stolida,
Sterna pileata,
Anous tenuirostris,"Noddi marianne, Noddi à bec grêle"
Sterna tenuirostris,
Procelsterna albivitta,Noddi gris
Procelsterna cerulea,Noddi bleu
Anous ceruleus,
Procelsterna caerulea,
Sterna cerulea,
Gygis alba,Gygis blanche
Sterna alba,
Gygis microrhyncha,
Sterna candida,
Larosterna inca,Sterne inca
Sterna Inca,
Chroicocephalus cirrocephalus,Mouette à tête grise
Larus cirrocephalus,Mouette à tête grise
Chroicocephalus genei,Goéland railleur
Larus genei,
Chroicocephalus novaehollandiae,
Larus novaehollandiae,
Chroicocephalus philadelphia,Mouette de Bonaparte
Larus philadelphia,
Sterna philadelphia,
Chroicocephalus ridibundus,Mouette rieuse
Larus ridibundus,Mouette rieuse
Hydrocoloeus minutus,Mouette pygmée
Larus minutus,
Ichthyaetus audouinii,Goéland d'Audouin
Larus audouinii,
Ichthyaetus ichthyaetus,Goéland ichthyaète
Larus ichthyaetus,
Ichthyaetus melanocephalus,Mouette mélanocéphale
Larus melanocephalus,
Larus argentatus,Goéland argenté
Larus cachinnans,Goéland pontique
Larus canus,Goéland cendré
Larus heinei,
Larus delawarensis,Goéland à bec cerclé
Larus dominicanus,Goéland dominicain
Larus fuscus,Goéland brun
Larus graellsii,
Larus glaucoides,"Goéland à ailes blanches, Goéland arctique"
Larus hyperboreus,Goéland bourgmestre
Larus marinus,Goéland marin
Larus michahellis,Goéland leucophée
Larus michaellis,
Larus michahelles,
Larus smithsonianus,"Goéland d'Amérique, Goéland hudsonien"
Larus utunui,Mouette de Huahine
Leucophaeus atricilla,Mouette atricille
Larus atricilla,Mouette atricille
Leucophaeus pipixcan,Mouette de Franklin
Larus pipixcan,Mouette de Franklin
Pagophila eburnea,"Mouette blanche, Mouette ivoire, Goéland sénateur"
Larus eburneus,
Rhodostethia rosea,Mouette de Ross
Larus rosea,
Larus roseus,
Larus rossii,
Rissa tridactyla,Mouette tridactyle
Larus tridactyla,
Larus tridactylus,
Xema sabini,Mouette de Sabine
Larus (Xema) sabini,
Larus sabini,
Xema sabinii,Mouette de Sabine
Rynchops niger,Bec-en-ciseaux noir
Rynchops nigra,
Chlidonias hybrida,Guifette moustac
Chlidonias hybridus,
Hydrochelidon leucopareia,
Sterna hybrida,
Chlidonias leucopterus,Guifette leucoptère
Sterna leucoptera,
Chlidonias niger,Guifette noire
Sterna nigra,
Sterna surinamensis,
Gelochelidon nilotica,Sterne hansel
Sterna nilotica,Sterne hansel
Sterna aranea,
Hydroprogne caspia,Sterne caspienne
Hydroprogne tschegrava,
Sterna caspia,
Sterna tschegrava,
Onychoprion anaethetus,Sterne bridée
Sterna anaethetus,Sterne bridée
Sterna antarctica,
Sterna melanoptera,
Onychoprion fuscatus,Sterne fuligineuse
Sterna fuscata,Sterne fuligineuse
Onychoprion lunatus,Sterne à dos gris
Sterna lunata,
Phaetusa simplex,Sterne à gros bec
Sterna simplex,
Sterna dougallii,Sterne de Dougall
Sterna forsteri,Sterne de Forster
Sterna hirundo,Sterne pierregarin
Sterna paradisaea,Sterne arctique
Sterna macrura,
Sterna repressa,Sterne à joues blanches
Sterna sumatrana,Sterne diamant
Sterna virgata,Sterne de Kerguelen
Sterna vittata,Sterne subantarctique
Sternula albifrons,Sterne naine
Sterna albifrons,
Sternula antillarum,Petite Sterne
Sterna antillarum,Petite Sterne
Sternula nereis,Sterne néréis
Sterna nereis,
Sternula saundersi,Sterne de Saunders
Sterna saundersi,
Sternula superciliaris,Sterne argentée
Sterna superciliaris,Sterne argentée
Thalasseus bengalensis,Sterne voyageuse
Sterna bengalensis,
Thalasseus bergii,Sterne huppée
Sterna bergii,
Thalasseus elegans,Sterne élégante
Sterna elegans,Sterne élégante
Thalasseus maximus,Sterne royale
Sterna maxima,Sterne royale
Thalasseus sandvicensis,Sterne caugek
Sterna sandvicensis,Sterne caugek
Sterna acuflavida,
Thalasseus acuflavidus,
Sterna eurygnatha,Sterne de Cayenne
Thalasseus eurygnathus,
Pluvianus aegyptius,Pluvian fluviatile
Charadrius aegyptius,
Himantopus himantopus,Echasse blanche
Charadrius himantopus,
Himantopus mexicanus,Échasse d'Amérique
